Altium Designer Pick and Place Locations
D:\OneDrive\Documents\HES-SO\TM\Schematics\UCL-MB-802154RT-1\Project Outputs for UCL-MB-802154RT-1\Pick Place\Pick Place for UCL-MB-802154RT-1(R 0ohm not fitted).csv

========================================================================================================================
File Design Information:

Date:       17/11/21
Time:       12:20
Revision:   Not in VersionControl
Variant:    R 0ohm not fitted
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R44","R-330R-0603","TopLayer","Resistor-0603","64.2250","76.3750","360",""
"D4","150080YS75000","TopLayer","150080YS75000","58.3500","76.2500","180",""
"U5","LD1086DT33TR","TopLayer","LD1086DT33TR","61.5750","19.3000","0",""
"R43","R-0R-0603","TopLayer","Resistor-0603","10.5750","83.3178","90",""
"J2","MM8930-2620RJ4","TopLayer","MM8030-2610RJ3","51.3000","89.9750","90","SWG Connecteur Socle, prise femelle 50Ohms"
"U4","SKY66122-11","TopLayer","SKY66122-11","56.7500","92.3250","0",""
"U3","B39871B4377P810","TopLayer","B39871B4377P810","57.2500","87.6625","180",""
"L3","L-6.8nH-0603","TopLayer","SM/L_0603_(1608)","59.7710","97.7612","90",""
"L2","L-3.3nH-0402","TopLayer","SM/L_0402","55.1250","97.4334","90",""
"C28","C-22pF-0402","TopLayer","SM/C_0402","57.3337","97.4334","90",""
"C22","C-68pF-0402","TopLayer","SM/C_0402","52.7084","96.9750","360",""
"C20","C-33pF-0402","TopLayer","SM/C_0402","52.7084","99.7000","360",""
"C19","C-1nF-0402","TopLayer","SM/C_0402","52.7000","98.3250","360",""
"C18","C-4.7uF-0603","TopLayer","SM/C_0603","55.4000","99.5500","180",""
"C17","C-1pF-0402","TopLayer","SM/C_0402","58.4508","97.4334","90",""
"C16","C-1nF-0402","TopLayer","SM/C_0402","56.2167","97.4334","90",""
"J1","ARJE-0034","TopLayer","ARJE-0034","12.8900","16.8550","360",""
"U9","SN74LVC2G17DBVR","TopLayer","SN74LVC2G17DBVR","8.2000","82.6250","90",""
"R80","R-0R-0603","TopLayer","Resistor-0603","14.1500","96.7000","180",""
"R79","R-20K-0603","TopLayer","Resistor-0603","5.2250","82.8750","90",""
"R77","R-10K-0603","TopLayer","Resistor-0603","7.7750","85.6750","180",""
"C48","C-100nF-0603","TopLayer","Capacitor-0603","70.4000","34.7250","270",""
"C47","C-100nF-0603","TopLayer","Capacitor-0603","71.0000","48.2500","270",""
"S2","TL3305AF260QG","TopLayer","TL3305AF260QG","76.5250","34.0500","180",""
"S1","TL3305AF260QG","TopLayer","TL3305AF260QG","29.5250","91.6500","270",""
"U2","AT86RF215M","TopLayer","QFN50P700X700X90-49N-D","41.2241","90.8089","180","IC RF TXRX 802.15.4/ISM 48-VFQFN"
"L5","DLW21SN900SQ2L","TopLayer","MURA-DLW21SN900SQ2L-4_V","47.0741","91.8089","90","Chip Common Mode Choke Coil, 90 Ohm, 330 mA, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"
"C35","C-100nF-0402","TopLayer","SM/C_0402","43.2584","99.7500","360",""
"C34","C-100nF-0402","TopLayer","SM/C_0402","39.3825","95.6339","360",""
"C33","C-100nF-0402","TopLayer","SM/C_0402","36.3741","91.0089","90",""
"C32","C-100nF-0402","TopLayer","SM/C_0402","38.8084","85.8500","360",""
"C31","C-100nF-0402","TopLayer","SM/C_0402","35.7955","86.8828","360",""
"C27","C-100nF-0402","TopLayer","SM/C_0402","42.7741","96.2755","270",""
"C26","C-100nF-0402","TopLayer","SM/C_0402","43.0780","85.3284","90",""
"Y2","7Z-26.000MBG-T","TopLayer","TCXO","40.1111","98.6025","270","XTAL OSC TCXO 26.0000MHZ SNWV"
"R39","R-0-0402","TopLayer","SM/R_0402","48.9500","96.9500","270",""
"R38","R-0-0402","TopLayer","SM/R_0402","47.5750","96.9500","270",""
"R40","R-0-0402","TopLayer","SM/R_0402","62.5834","91.9421","360",""
"C25","C-100nF-0402","TopLayer","SM/C_0402","43.8912","96.2673","270",""
"C24","C-100nF-0402","TopLayer","SM/C_0402","44.1950","85.3284","90",""
"C23","C-8.2pF-0402","TopLayer","SM/C_0402","49.8991","92.5089","180",""
"C21","C-15pF-0402","TopLayer","SM/C_0402","49.3491","90.8584","270",""
"C1","C-100nF-0603","TopLayer","Capacitor-0603","27.0250","4.7000","90",""
"C2","C-10pF-0603","TopLayer","Capacitor-0603","30.9927","10.5677","135",""
"C3","C-10pF-0603","TopLayer","Capacitor-0603","30.9927","13.3080","225",""
"C4","C-10pF-0603","TopLayer","Capacitor-0603","29.7250","18.2427","45",""
"C5","C-10pF-0603","TopLayer","Capacitor-0603","29.6950","21.1367","315",""
"C6","C-22nF-0603","TopLayer","Capacitor-0603","27.5000","15.0000","180",""
"C7","C-100nF-0603","TopLayer","Capacitor-0603","43.1858","4.8998","90",""
"C8","C-4.7uF-0603","TopLayer","Capacitor-0603","44.6560","4.8998","90",""
"C9","C-100nF-0603","TopLayer","Capacitor-0603","46.1263","4.8998","90",""
"C10","C-4.7uF-0603","TopLayer","Capacitor-0603","47.5965","4.8998","90",""
"C11","C-100nF-0603","TopLayer","Capacitor-0603","38.6232","25.5750","270",""
"C12","C-100nF-0603","TopLayer","Capacitor-0603","29.8500","1.1250","360",""
"C13","C-4.7uF-0603","TopLayer","Capacitor-0603","29.8250","2.6250","360",""
"C14","C-16pF-0603","TopLayer","Capacitor-0603","50.1250","12.1500","180",""
"C15","C-16pF-0603","TopLayer","Capacitor-0603","50.7000","16.4500","180",""
"C36","C-10uF-1210","TopLayer","Capacitor-1210","62.5000","12.5000","360",""
"C37","C-22uF-1210","TopLayer","Capacitor-1210","64.0000","27.1000","360",""
"C38","C-100nF-0603","TopLayer","Capacitor-0603","66.4500","24.6750","180",""
"C39","C-10uF-1210","TopLayer","Capacitor-1210","68.9500","19.8750","90",""
"C40","C-22uF-1210","TopLayer","Capacitor-1210","81.3750","23.2000","90",""
"C41","C-100nF-0603","TopLayer","Capacitor-0603","80.7750","27.4500","270",""
"C42","C-100nF-0603","TopLayer","Capacitor-0603","71.0000","45.0000","90",""
"C43","C-100nF-0603","TopLayer","Capacitor-0603","71.0000","41.8500","90",""
"C44","C-100nF-0603","TopLayer","Capacitor-0603","79.6250","37.5500","180",""
"C45","C-100nF-0603","TopLayer","Capacitor-0603","17.9750","96.1250","90",""
"C46","C-100nF-0603","TopLayer","Capacitor-0603","9.2750","95.4000","90",""
"D1","150080YS75000","TopLayer","150080YS75000","21.7500","84.5000","180",""
"D2","150080YS75000","TopLayer","150080YS75000","23.0750","88.9000","90",""
"D3","150080YS75000","TopLayer","150080YS75000","21.7500","82.2750","180",""
"J4","Header_2x6","TopLayer","Header_2x6","75.1050","11.7700","180",""
"J5","Header_2x2","TopLayer","Header_2x2","68.6800","5.4200","180",""
"J6","Header_1x2","TopLayer","Header_1x2","60.3300","4.6500","0",""
"J7","UCL-CPUM-H7-1","TopLayer","UCL-CPUM-H7-1","41.5000","52.9500","90",""
"J8","I2C_Header","TopLayer","I2C_header","77.1500","72.1450","270",""
"J9","733910080","TopLayer","SMA_733910080","77.8600","91.9650","90",""
"J10","SPI_Header","TopLayer","SPI_Header","77.4250","45.7550","270",""
"J12","SPI_Header","TopLayer","SPI_Header","16.9800","107.2750","180",""
"J13","UART_Header","TopLayer","UART_Header","77.3000","60.3750","270",""
"J14","Header_2x10","TopLayer","JTAG_Header","36.6550","107.1450","180",""
"J15","Header 1x20","TopLayer","GPIO_Header","3.2500","55.3850","270",""
"J16","USB3085-30-A","TopLayer","USB3085-30-A","2.8250","89.6600","270",""
"L1","Ferrite Bead 120ohm@100MHz","TopLayer","Inductor-0603","43.8500","1.3750","360",""
"M1","M3x5 (97790503111)","TopLayer","Screw_M3","3.5000","3.5000","0",""
"M2","M3x5 (97790503111)","TopLayer","Screw_M3","80.5000","3.5000","0",""
"M7","M3x5 (97790503111)","TopLayer","Screw_M3","3.5000","109.0000","0",""
"M8","M3x5 (97790503111)","TopLayer","Screw_M3","80.5000","109.0000","0",""
"R1","R-0R-0603","TopLayer","Resistor-0603","27.3250","8.2750","90",""
"R2","R-49R9-0603","TopLayer","Resistor-0603","29.9677","9.4677","315",""
"R3","R-49R9-0603","TopLayer","Resistor-0603","29.9677","14.3677","45",""
"R4","R-49R9-0603","TopLayer","Resistor-0603","30.7750","17.1927","225",""
"R5","R-49R9-0603","TopLayer","Resistor-0603","30.7750","22.1927","135",""
"R7","R-10K-0603","TopLayer","Resistor-0603","34.0303","6.4234","45",""
"R8","R-0R-0603","TopLayer","Resistor-0603","27.5000","16.5000","0",""
"R11","R-10K-0603","TopLayer","Resistor-0603","49.0668","4.8997","270",""
"R12","R-100R-0603","TopLayer","Resistor-0603","45.9745","25.5750","270",""
"R13","R-10K-0603","TopLayer","Resistor-0603","50.3750","10.1095","360",""
"R14","R-100R-0603","TopLayer","Resistor-0603","50.4750","19.8203","180",""
"R15","R-100R-0603","TopLayer","Resistor-0603","50.4750","22.7608","180",""
"R16","R-100R-0603","TopLayer","Resistor-0603","50.4750","24.2310","180",""
"R17","R-100R-0603","TopLayer","Resistor-0603","50.5000","25.7013","180",""
"R18","R-100R-0603","TopLayer","Resistor-0603","47.4448","25.5750","270",""
"R19","R-100R-0603","TopLayer","Resistor-0603","44.5042","25.5750","270",""
"R20","R-4K7-0603","TopLayer","Resistor-0603","50.4750","21.2905","360",""
"R21","R-330R-0603","TopLayer","Resistor-0603","24.0750","3.2500","90",""
"R22","R-330R-0603","TopLayer","Resistor-0603","28.1250","25.7500","270",""
"R23","R-10K-0603","TopLayer","Resistor-0603","50.4250","8.6392","180",""
"R24","R-10K-0603","TopLayer","Resistor-0603","50.4250","7.1690","180",""
"R25","R-100R-0603","TopLayer","Resistor-0603","40.0935","25.5750","270",""
"R27","R-4K7-0603","TopLayer","Resistor-0603","35.6827","25.5750","270",""
"R28","R-1K5-0603","TopLayer","Resistor-0603","50.4750","18.3203","180",""
"R29","R-100R-0603","TopLayer","Resistor-0603","32.7422","25.5750","270",""
"R30","R-0R-0603","TopLayer","Resistor-0603","33.3047","3.0500","270",""
"R31","R-0R-0603","TopLayer","Resistor-0603","38.7750","4.8997","270",""
"R32","R-0R-0603","TopLayer","Resistor-0603","41.7155","4.8997","270",""
"R33","R-100R-0603","TopLayer","Resistor-0603","34.2125","25.5750","270",""
"R37","R-12K4-1%-0603","TopLayer","Resistor-0603","29.0000","5.1250","90",""
"R46","R-2K55-0603","TopLayer","Resistor-0603","77.3000","20.9250","360",""
"R47","R-1K5-0603","TopLayer","Resistor-0603","74.4500","20.9500","360",""
"R48","R-10K-0603","TopLayer","Resistor-0603","26.7250","77.5000","180",""
"R49","R-0R-0603","TopLayer","Resistor-0603","54.0000","82.1203","360",""
"R51","R-0R-0603","TopLayer","Resistor-0603","39.8750","82.3250","180",""
"R52","R-10K-0603","TopLayer","Resistor-0603","76.7250","37.5750","180",""
"R53","R-0R-0603","TopLayer","Resistor-0603","39.8750","80.7000","180",""
"R54","R-0R-0603","TopLayer","Resistor-0603","39.8750","79.1000","180",""
"R55","R-0R-0603","TopLayer","Resistor-0603","39.8750","77.5250","180",""
"R62","R-0R-0603","TopLayer","Resistor-0603","32.6348","82.3750","180",""
"R63","R-0R-0603","TopLayer","Resistor-0603","32.6348","80.7048","180",""
"R64","R-0R-0603","TopLayer","Resistor-0603","32.6500","79.0845","180",""
